0.04, true
-11203.038085938, 199.88348388672, -830.16644287109
-11294.830078125, 199.85754394531, -838.37963867188
-11323.862304688, 199.85499572754, -1037.3569335938
-11568.541015625, 199.89450073242, -1135.1733398438
-11709.467773438, 199.78633117676, -1108.1447753906
-11723.900390625, 199.8568572998, -1194.546875
-11903.08984375, 199.81384277344, -1432.8735351563
-12115.588867188, 199.88020324707, -1501.1380615234
-12188.546875, 199.98294067383, -1613.3410644531
-12245.877929688, 199.9211730957, -1568.3336181641
-12362.61328125, 199.82749938965, -1378.3458251953
-12367.344726563, 199.87817382813, -1010.8927001953
-12410.797851563, 199.84732055664, -1001.7473754883
-12508.407226563, 199.90463256836, -875.79681396484
-12521.827148438, 199.80072021484, -745.51702880859
-12843.07421875, 199.93748474121, -610
-12999.791992188, 199.89613342285, -604.19665527344
-13115.15625, 199.83831787109, -398.03457641602
