0.04, true
-9285.232421875, 199.90498352051, -2913.4174804688
-9268.1767578125, 199.84785461426, -2751.787109375
-9266.44921875, 199.9084777832, -2612.6391601563
-9340.095703125, 199.86849975586, -2466.5
-9471.666015625, 199.82041931152, -2395.7346191406
-9691.1591796875, 200.05545043945, -2247.5866699219
-10009.018554688, 199.82746887207, -2129.6069335938
-10157.2578125, 199.88548278809, -2181.0871582031
-10238.3828125, 199.91123962402, -2454.0068359375
-10588.463867188, 199.86291503906, -2509.4704589844
-10747.129882813, 199.86817932129, -2601.5007324219
-11009.981445313, 199.89065551758, -2630.333984375
-11167.022460938, 199.91711425781, -2855.7033691406
-11185.73046875, 199.8917388916, -3204.8295898438
