0.03, false
13193.583984375, 199.8480682373, -6017.978515625
13000.595703125, 199.91961669922, -5890.7138671875
12881.70703125, 199.87019348145, -5845.6162109375
12793.666015625, 199.81819152832, -5737.4360351563
12757.883789063, 199.78507995605, -5569.7270507813
12573.430664063, 199.89477539063, -5381.75390625
12670.301757813, 199.86695861816, -5010.5229492188
12805.016601563, 199.88891601563, -4861.1479492188
13050.780273438, 199.91775512695, -4838.1538085938
13137.923828125, 199.85342407227, -4824.7983398438
13413.859375, 199.86029052734, -4499.9956054688
13414.204101563, 199.83248901367, -4376.064453125
13318.729492188, 199.83352661133, -4322.7333984375
13013.903320313, 199.87142944336, -4440.8959960938
12897.784179688, 199.88320922852, -4563.2231445313
13237.247070313, 199.89219665527, -5428.2055664063
13365.645507813, 199.78504943848, -5549.3701171875
13426.928710938, 199.91059875488, -5767.8217773438
13347.4921875, 199.91996765137, -5891.2705078125
